judul,deskripsi,badge_text,meta_text,image_url,link_url
BENGKEL KREATIF COGOIPA,Produk kreatif lokal,Promo,BENGKEL KREATIF COGOIPA,https://drive.google.com/thumbnail?id=1IqmUnJh40ccgFPjBDxVANvJXrRvNbXdy&sz=w1200,action://p/68ab316503d2f
IKAN TORE WEDA,Ikan segar khas Weda,UMKM,IKAN TORE WEDA,https://drive.google.com/thumbnail?id=113vX3AYGEmKHzWkgiHWhc79CUuaP124q&sz=w1200,action://p/68d0c7eb8871d
IKAN FUFU WEDA,Olahan ikan fufu asap,UMKM,IKAN FUFU WEDA,https://drive.google.com/thumbnail?id=1oKsGyh8Q3VpbAVnrIKU_8cJnkF5myqEL&sz=w1200,action://p/68d0c7b85460a
SAGU BAKAR,Kue sagu bakar tradisional,UMKM,SAGU BAKAR,https://drive.google.com/thumbnail?id=1icx4gWmn7kuIUStRS4qK6ar0oJz-9hqM&sz=w1200,action://p/68d0c7926a4a5
DISTRO LOKAL,Fashion & aksesoris lokal,UMKM,DISTRO LOKAL,https://drive.google.com/thumbnail?id=1By69lkNEFNlZe2SW88BrTBGdWabd1DlO&sz=w1200,action://p/68d0bf444e7f0
SABLON BAJU WEDA,Jasa sablon baju,UMKM,SABLON BAJU WEDA,https://drive.google.com/thumbnail?id=1eFNNlkbYs-XFcs5eYq2Cy2NzSYA91bkU&sz=w1200,action://p/68d0bf3e406e0
SAGU WEDA,Olahan sagu lokal,UMKM,SAGU WEDA,https://drive.google.com/thumbnail?id=1YJii5sa1EC6U_f3QBM2vAJTFCE-pbx4I&sz=w1200,action://p/68d0bf3590056
CONTOH TOKO UMKM,Contoh produk UMKM,UMKM,CONTOH TOKO UMKM,https://drive.google.com/thumbnail?id=1IwUrYhy-9OXal-BLuznB3RZMOrTq-WYi&sz=w1200,action://p/68cbdfdcb7ff6
CONTOH TOKO UMKM 2,Contoh produk UMKM,UMKM,CONTOH TOKO UMKM 2,https://drive.google.com/thumbnail?id=10GDmBqPqe-5dZUMZJoU7dQE9m26Z_Oly&sz=w1200,action://p/68ab3446b9530
